"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年8月26日","4,341.70","4,351.50","4,364.00","4,243.60","14.80K","-0.23%"
"2017年8月25日","4,351.50","4,324.10","4,461.20","4,277.40","27.76K","0.61%"
"2017年8月24日","4,325.20","4,135.00","4,370.80","4,093.00","22.04K","4.75%"
"2017年8月23日","4,129.10","4,086.90","4,248.60","4,055.90","27.49K","1.35%"
"2017年8月22日","4,074.00","3,998.90","4,140.00","3,600.00","61.72K","1.79%"
"2017年8月21日","4,002.50","4,066.30","4,093.50","3,956.40","26.61K","-1.52%"
"2017年8月20日","4,064.30","4,145.00","4,192.00","4,040.90","25.10K","-1.95%"
"2017年8月19日","4,145.10","4,088.20","4,184.10","3,920.00","41.77K","1.34%"
"2017年8月18日","4,090.20","4,269.70","4,359.00","3,957.00","46.80K","-3.99%"
"2017年8月17日","4,260.00","4,386.40","4,489.10","4,178.10","40.30K","-2.88%"
"2017年8月16日","4,386.30","4,160.00","4,403.60","3,928.10","35.29K","5.65%"
"2017年8月15日","4,151.90","4,321.00","4,430.00","3,841.90","64.13K","-3.88%"
"2017年8月14日","4,319.50","4,061.60","4,330.30","3,969.30","34.22K","6.57%"
"2017年8月13日","4,053.30","3,866.20","4,183.70","3,836.10","48.16K","4.86%"
"2017年8月12日","3,865.50","3,643.40","3,965.40","3,590.00","37.66K","6.08%"
"2017年8月11日","3,644.10","3,404.70","3,690.60","3,380.00","26.43K","6.93%"
"2017年8月10日","3,407.90","3,340.20","3,444.40","3,310.00","19.13K","2.04%"
"2017年8月9日","3,339.90","3,415.00","3,424.40","3,236.80","26.25K","-2.20%"
"2017年8月8日","3,415.00","3,395.00","3,482.90","3,343.80","31.72K","0.54%"
"2017年8月7日","3,396.70","3,232.50","3,440.00","3,190.00","24.54K","5.23%"
"2017年8月6日","3,227.90","3,255.00","3,309.80","3,156.00","16.95K","-0.88%"
"2017年8月5日","3,256.40","2,860.00","3,331.90","2,855.00","50.56K","13.86%"
"2017年8月4日","2,860.00","2,790.30","2,874.80","2,762.60","18.99K","2.50%"
"2017年8月3日","2,790.30","2,702.00","2,813.00","2,698.00","16.86K","3.27%"
"2017年8月2日","2,702.00","2,733.80","2,757.80","2,640.00","23.76K","-1.07%"
"2017年8月1日","2,731.20","2,854.30","2,901.60","2,615.80","42.31K","-4.37%"
"2017年7月31日","2,856.00","2,748.90","2,883.50","2,694.80","27.56K","3.89%"
